date,value
1947-03-31,4.684
1947-06-30,4.861
1947-09-30,4.675
1947-12-31,5.444
1948-03-31,5.69
1948-06-30,5.326
1948-09-30,5.497
1948-12-31,5.415
1949-03-31,5.531
1949-06-30,5.754
1949-09-30,5.713
1949-12-31,5.814
1950-03-31,5.56
1950-06-30,5.918
1950-09-30,7.401
1950-12-31,6.821
1951-03-31,6.935
1951-06-30,6.629
1951-09-30,6.518
1951-12-31,6.17
1952-03-31,6.279
1952-06-30,5.813
1952-09-30,4.844
1952-12-31,6.033
1953-03-31,6.462
1953-06-30,6.566
1953-09-30,6.699
1953-12-31,6.579
1954-03-31,6.187
1954-06-30,5.875
1954-09-30,5.877
1954-12-31,6.113
1955-03-31,6.65
1955-06-30,7.454
1955-09-30,8.135
1955-12-31,7.774
1956-03-31,7.399
1956-06-30,7.402
1956-09-30,7.106
1956-12-31,7.697
1957-03-31,8.13
1957-06-30,8.109
1957-09-30,8.614
1957-12-31,8.207
1958-03-31,6.598
1958-06-30,5.834
1958-09-30,5.584
1958-12-31,6.444
1959-03-31,7.563
1959-06-30,8.396
1959-09-30,9.094
1959-12-31,8.038
1960-03-31,8.992
1960-06-30,8.647
1960-09-30,8.688
1960-12-31,7.709
1961-03-31,7.413
1961-06-30,7.687
1961-09-30,8.025
1961-12-31,8.978
1962-03-31,9.291
1962-06-30,9.647
1962-09-30,10.117
1962-12-31,10.1
1963-03-31,9.486
1963-06-30,8.991
1963-09-30,9.313
1963-12-31,9.938
1964-03-31,10.173
1964-06-30,10.554
1964-09-30,11.321
1964-12-31,10.259
1965-03-31,12.87
1965-06-30,12.833
1965-09-30,13.342
1965-12-31,13.814
1966-03-31,14.72
1966-06-30,14.736
1966-09-30,14.248
1966-12-31,14.368
1967-03-31,13.34
1967-06-30,13.965
1967-09-30,14.66
1967-12-31,15.099
1968-03-31,17.211
1968-06-30,16.625
1968-09-30,17.711
1968-12-31,18.968
1969-03-31,19.393
1969-06-30,19.136
1969-09-30,18.969
1969-12-31,18.058
1970-03-31,16.758
1970-06-30,16.535
1970-09-30,17.081
1970-12-31,14.603
1971-03-31,17.653
1971-06-30,18.28
1971-09-30,18.169
1971-12-31,19.549
1972-03-31,20.961
1972-06-30,21.248
1972-09-30,21.023
1972-12-31,24.165
1973-03-31,25.197
1973-06-30,26.928
1973-09-30,27.079
1973-12-31,27.036
1974-03-31,26.758
1974-06-30,26.786
1974-09-30,27.409
1974-12-31,24.164
1975-03-31,23.963
1975-06-30,23.856
1975-09-30,25.849
1975-12-31,27.003
1976-03-31,28.346
1976-06-30,29.007
1976-09-30,30.168
1976-12-31,32.435
1977-03-31,36.855
1977-06-30,38.357
1977-09-30,39.283
1977-12-31,42.613
1978-03-31,43.087
1978-06-30,48.364
1978-09-30,48.262
1978-12-31,49.574
1979-03-31,54.114
1979-06-30,52.482
1979-09-30,55.354
1979-12-31,52.606
1980-03-31,51.703
1980-06-30,45.633
1980-09-30,48.128
1980-12-31,48.075
1981-03-31,50.469
1981-06-30,49.995
1981-09-30,51.999
1981-12-31,49.761
1982-03-31,49.515
1982-06-30,46.818
1982-09-30,43.885
1982-12-31,47.066
1983-03-31,47.193
1983-06-30,49.349
1983-09-30,54.768
1983-12-31,62.734
1984-03-31,60.397
1984-06-30,64.428
1984-09-30,66.082
1984-12-31,66.724
1985-03-31,66.421
1985-06-30,68.924
1985-09-30,70.504
1985-12-31,69.968
1986-03-31,67.352
1986-06-30,70.913
1986-09-30,72.222
1986-12-31,71.392
1987-03-31,65.569
1987-06-30,71.215
1987-09-30,69.966
1987-12-31,65.511
1988-03-31,71.85
1988-06-30,72.439
1988-09-30,71.507
1988-12-31,75.647
1989-03-31,68.936
1989-06-30,68.896
1989-09-30,69.438
1989-12-31,64.401
1990-03-31,68.716
1990-06-30,65.853
1990-09-30,73.212
1990-12-31,72.056
1991-03-31,72.99
1991-06-30,70.311
1991-09-30,72.864
1991-12-31,69.96
1992-03-31,66.806
1992-06-30,78.142
1992-09-30,72.759
1992-12-31,81.152
1993-03-31,80.893
1993-06-30,92.475
1993-09-30,85.914
1993-12-31,98.42
1994-03-31,105.236
1994-06-30,102.381
1994-09-30,105.124
1994-12-31,118.189
1995-03-31,124.631
1995-06-30,112.905
1995-09-30,111.593
1995-12-31,115.182
1996-03-31,113.499
1996-06-30,118.244
1996-09-30,130.353
1996-12-31,130.509
1997-03-31,130.798
1997-06-30,134.351
1997-09-30,143.068
1997-12-31,133.905
1998-03-31,135.149
1998-06-30,140.692
1998-09-30,148.529
1998-12-31,164.215
1999-03-31,167.66
1999-06-30,173.08
1999-09-30,181.471
1999-12-31,175.227
2000-03-31,174.616
2000-06-30,177.059
2000-09-30,170.879
2000-12-31,160.584
2001-03-31,154.05
2001-06-30,154.924
2001-09-30,151.078
2001-12-31,156.813
2002-03-31,145.909
2002-06-30,143.808
2002-09-30,140.643
2002-12-31,135.904
2003-03-31,124.616
2003-06-30,135.378
2003-09-30,136.7
2003-12-31,139.734
2004-03-31,139.303
2004-06-30,155.75
2004-09-30,164.375
2004-12-31,177.209
2005-03-31,172.727
2005-06-30,179.756
2005-09-30,185.008
2005-12-31,180.742
2006-03-31,193.348
2006-06-30,190.843
2006-09-30,194.875
2006-12-31,197.975
2007-03-31,199.404
2007-06-30,189.727
2007-09-30,185.179
2007-12-31,181.063
2008-03-31,176.883
2008-06-30,162.168
2008-09-30,148.0
2008-12-31,107.704
2009-03-31,72.908
2009-06-30,67.416
2009-09-30,74.3
2009-12-31,84.856
2010-03-31,107.37
2010-06-30,126.01
2010-09-30,153.665
2010-12-31,156.007
2011-03-31,166.448
2011-06-30,167.21
2011-09-30,184.25
2011-12-31,193.438
2012-03-31,204.263
2012-06-30,214.67
2012-09-30,216.018
2012-12-31,226.187
2013-03-31,235.398
2013-06-30,241.391
2013-09-30,242.878
2013-12-31,253.971
2014-03-31,259.175
2014-06-30,269.469
2014-09-30,286.255
2014-12-31,284.861
2015-03-31,301.589
2015-06-30,308.374
2015-09-30,320.563
2015-12-31,308.79
2016-03-31,307.401
2016-06-30,293.835
2016-09-30,294.269
2016-12-31,295.749
2017-03-31,292.106
2017-06-30,290.1
2017-09-30,302.963
2017-12-31,314.372
2018-03-31,320.619
2018-06-30,319.658
2018-09-30,317.23
2018-12-31,319.625
2019-03-31,318.747
2019-06-30,315.715
2019-09-30,303.016
2019-12-31,296.122
2020-03-31,271.641
2020-06-30,172.841
2020-09-30,213.22
2020-12-31,227.66
2021-03-31,233.734
2021-06-30,234.46
2021-09-30,207.257
2021-12-31,183.305
2022-03-31,191.761
2022-06-30,215.151
2022-09-30,240.287
2022-12-31,272.239
2023-03-31,292.511
2023-06-30,329.917
2023-09-30,336.722
2023-12-31,327.571
2024-03-31,320.648
2024-06-30,349.819
2024-09-30,372.432
2024-12-31,354.245
